Ticker,SimFinId,Date,Open,High,Low,Close,Adj. Close,Volume,Shares Outstanding,Returns,SMA_5,SMA_20,Volatility_5,Volatility_20,Volume_Change,RSI_14,Price_Range,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,BB_Position,Momentum_10,Momentum_20,ATR_14,ATR_Ratio,Return_Lag1,Return_Lag2,Return_Lag3,Return_Lag5,Volume_SMA_10,Volume_Ratio,DayOfWeek,Dist_SMA_5,Dist_SMA_20,Target
TSLA,56317,2021-03-05,208.69,209.28,179.83,199.32,199.32,268189377,2879560512.0,-0.03853159511020705,218.498,249.189,0.0482942045443499,0.03951048901526349,0.3795771561245358,22.328767123287676,0.14775235801725864,-14.828110419822792,-8.740535907125711,-6.087574512697081,302.0004082173044,196.3775917826956,0.42386628797663156,0.027857695113877704,-0.234650385900242,-0.2965093706984788,17.361428571428576,0.08710329405693647,-0.049812594540816726,-0.04963620178002936,-0.04557794121289434,-0.009898883251769276,135940541.7,1.972843227238663,4,-0.08777197045281879,-0.20012520616881163,0
TSLA,56317,2021-03-08,200.18,206.71,186.26,187.67,187.67,155360874,2879560512.0,-0.06022647211002265,208.13599999999997,244.36849999999998,0.007875617214092403,0.04030930315285737,-0.42070459412715666,21.507110394370315,0.1089678691319871,-17.107402499525023,-10.413909225605574,-6.693493273919449,301.2162635629169,187.52073643708312,0.4652626141496706,0.0013128358405135202,-0.2120334215056472,-0.3393762320473106,18.14214285714286,0.09667044736581692,-0.03853159511020705,-0.049812594540816726,-0.04963620178002936,0.06161423358558252,140498262.6,1.1057850191522582,0,-0.0983299381173847,-0.23202049363972851,3
TSLA,56317,2021-03-09,202.73,226.03,198.4,224.53,224.53,202569984,2879560512.0,0.17932422724092825,207.28000000000003,241.20449999999997,0.10264359033984927,0.059986838306374475,0.3038674331865563,37.974976830398525,0.12305705250968688,-15.757817633200261,-11.482690907124512,-4.275126726075749,294.8242298624895,187.58477013751042,0.4445997472061222,0.3445115254891945,-0.036145095514058756,-0.21986727354852165,19.981428571428577,0.08899224411628101,-0.06022647211002265,-0.03853159511020705,-0.049812594540816726,-0.04557794121289434,140773196.4,1.4389812065104177,1,0.0832207641837127,-0.06913013646096972,1
TSLA,56317,2021-03-10,233.43,239.28,218.35,222.69,222.69,181817016,2879560512.0,-0.008228658746544238,208.272,238.1815,0.09964514709093727,0.05998638360293926,-0.10244838643024234,38.36385979284921,0.09398715703444253,-14.66765493014583,-12.119683711728776,-2.5479712184170538,288.56361766093244,187.79938233906753,0.42305651497645663,0.34625993587390946,-0.09966038651249298,-0.21352639943492846,20.95571428571429,0.09410262825324123,0.17932422724092825,-0.06022647211002265,-0.03853159511020705,-0.04963620178002936,147924813.0,1.2291177680920915,2,0.06922678036413923,-0.06504073574144088,3
TSLA,56317,2021-03-11,233.13,234.17,225.73,233.2,233.2,108761676,2879560512.0,0.04611578467877202,213.48200000000003,236.42799999999997,0.09573039025148848,0.060473925912047685,-0.40180694638614023,42.40954451692033,0.03619210977701543,-12.807981531112915,-12.257343275605605,-0.5506382555073106,284.80198544019777,188.0540145598022,0.4092069081513001,0.4666349591559848,0.025460621784442194,-0.13072650687739962,21.312857142857144,0.09139304092134282,-0.008228658746544238,0.17932422724092825,-0.06022647211002265,-0.049812594540816726,147362964.0,0.7380529886735991,3,0.09236375900544289,-0.013653205204121258,1
TSLA,56317,2021-03-12,223.33,231.63,222.05,231.24,231.24,100751520,2879560512.0,-0.008440322262061938,219.86599999999999,234.4625,0.09170186024515506,0.06036439271408714,-0.07364869956582865,47.82171371094488,0.04142881854350451,-11.361365830661327,-12.07814778661675,0.7167819559554225,280.1169051601416,188.80809483985843,0.38943886685624846,0.46470767729098145,0.02695740995692164,-0.14529661800036964,20.416428571428565,0.08829107667976373,0.04611578467877202,-0.008228658746544238,0.17932422724092825,-0.03853159511020705,145507921.2,0.6924126134790799,4,0.05173150919196249,-0.013744202164525229,3
TSLA,56317,2021-03-15,231.36,237.73,228.01,235.98,235.98,88270437,2879560512.0,0.020290923457497674,229.52799999999996,232.65950000000004,0.07800743510024497,0.060626677655302594,-0.12387984816506992,50.955293524181855,0.041189931350114416,-9.720383548761532,-11.606594939045706,1.8862113902841742,274.7765311719249,190.5424688280752,0.3620486691660976,0.5394199200134195,-0.0146149991648572,-0.13255403617115136,18.83642857142857,0.07982213989078978,-0.008440322262061938,0.04611578467877202,-0.008228658746544238,-0.06022647211002265,146194093.2,0.6037893533717682,0,0.028109860234916993,0.014271929579492573,0
TSLA,56317,2021-03-16,234.45,235.97,223.67,225.63,225.63,96587016,2879560512.0,-0.04485056616535179,229.748,230.6705,0.0342203647440004,0.06110035185053356,0.09421703667333148,42.97638304755742,0.05451402738997479,-9.149581093725942,-11.115192169981754,1.9656110762558114,269.9360110350312,191.40498896496882,0.34044675010485675,0.43581517383661367,-0.013897993968795097,-0.14988131570023744,18.505714285714284,0.0820179687351606,0.020290923457497674,-0.008440322262061938,0.04611578467877202,0.17932422724092825,148733147.4,0.6493980507266532,1,-0.017923986280620485,-0.02185151547337006,3
TSLA,56317,2021-03-17,218.96,234.58,217.0,233.94,233.94,121117359,2879560512.0,0.036168182716139544,231.998,229.065,0.03689022349661084,0.06186800286057508,0.25397143442137193,52.28433498915553,0.07514747371120806,-7.935196479738238,-10.47919303193305,2.5439965521948125,264.6972878418178,193.43271215818223,0.31111071391803885,0.5684070585313178,0.07445000688926662,-0.12069159932343554,18.060714285714283,0.07720233515309174,-0.04485056616535179,0.020290923457497674,-0.008440322262061938,-0.008228658746544238,151782495.3,0.7979665821187747,2,0.008370761816912247,0.021282168816711414,0
TSLA,56317,2021-03-18,228.1,229.74,217.33,217.72,217.72,100107066,2879560512.0,-0.07185483865656163,228.902,226.82800000000003,0.044783419925600046,0.06357120896365644,-0.17347053447557426,47.62602765916768,0.05699981627778797,-8.187229087243708,-10.020800242995183,1.833571155751475,259.0910122912495,194.56498770875055,0.28447116133148886,0.35884765009263647,0.05102582669563116,-0.1704640707155376,18.123571428571427,0.08324256581192094,0.036168182716139544,-0.04485056616535179,0.020290923457497674,0.04611578467877202,142353232.5,0.7032300162203904,3,-0.04885059982001026,-0.04015377290281637,2
