Ticker,SimFinId,Date,Open,High,Low,Close,Adj. Close,Volume,Shares Outstanding,Returns,SMA_5,SMA_20,Volatility_5,Volatility_20,Volume_Change,RSI_14,Price_Range,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,BB_Position,Momentum_10,Momentum_20,ATR_14,ATR_Ratio,Return_Lag1,Return_Lag2,Return_Lag3,Return_Lag5,Volume_SMA_10,Volume_Ratio,DayOfWeek,Dist_SMA_5,Dist_SMA_20,Target_Binary,Target_Multi
GOOG,18,2020-11-10,86.55,88.15,85.86,87.02,86.37,52722840,13528525440.0,-0.012901931551345273,87.778,81.485,0.027663799486255653,0.024790450875454836,0.1621817508497665,65.57863501483678,0.026315789473684282,2.919648335467244,2.12644731744166,0.793201018025584,89.66551471807406,73.30448528192593,0.20078578187578242,0.8383038959499054,0.08490213190375262,0.10740646474930005,2.965000000000001,0.034072626982302935,0.0006808897221749149,-0.0009077499772313006,0.008085223114161195,0.014773481562487057,49134720.0,1.073026161541167,1,-0.008635421176149032,0.06792661225992509,1,2
GOOG,18,2020-11-11,87.5,88.21,87.37,87.64,86.98,25279320,13528525440.0,0.0070995374347316755,87.814,81.94699999999999,0.008406490374844703,0.02473189857822167,-0.5205243116645462,64.86369536996972,0.00958466453674109,2.9744699529276915,2.2960518445388662,0.6784181083888252,90.43193178336841,73.46206821663156,0.20708340228119212,0.8354770636553046,0.15574310958723458,0.11785714285714288,2.9178571428571445,0.0332936689052618,-0.012901931551345273,0.0006808897221749149,-0.0009077499772313006,0.05826204786852259,47994734.0,0.5267102845074628,2,-0.001981460814904143,0.06947173172904454,0,1
GOOG,18,2020-11-12,87.38,88.41,87.28,87.49,86.84,24975080,13528525440.0,-0.0017130136090926262,87.678,82.4235,0.007230089268214956,0.024653966847348708,-0.012035133856448721,62.374886260236565,0.012915761801348674,2.971558457172449,2.431153167065583,0.5404052901068663,91.035113394896,73.81188660510401,0.20896014837748936,0.7941667123028796,0.11651352730985187,0.12224217547460237,2.902142857142858,0.03317113792596706,0.0070995374347316755,-0.012901931551345273,0.0006808897221749149,0.008085223114161195,46486114.0,0.5372589328503561,3,-0.002144209493829722,0.06146911985052795,1,3
GOOG,18,2020-11-13,87.88,89.05,87.23,88.85,88.18,30011480,13528525440.0,0.015425053482487112,87.83,82.93350000000001,0.010528937635820643,0.024741156575840913,0.20165701170927175,72.4171071600192,0.020483961733258223,3.043903485202719,2.55370323069301,0.49020025450970905,91.80827863326562,74.0587213667344,0.214021562655998,0.8333322578786915,0.09623689080814302,0.12968849332485677,2.8021428571428575,0.031537904976284274,-0.0017130136090926262,0.0070995374347316755,-0.012901931551345273,-0.0009077499772313006,40825538.0,0.735115358430794,4,0.011613343959922532,0.07134029071484967,1,2
GOOG,18,2020-11-16,88.58,89.95,88.38,89.07,88.4,24935700,13528525440.0,0.0024730228431178608,88.014,83.5505,0.010515296484607507,0.0236834049643334,-0.16912794703893308,71.779744346116,0.017626585831368672,3.083445561463421,2.6596516968470922,0.4237938646163286,92.3245945851676,74.7764054148324,0.21003092944189689,0.8145338784773631,0.09557195571955712,0.16082366740518683,2.828571428571429,0.03175672424577781,0.015425053482487112,-0.0017130136090926262,0.0070995374347316755,0.0006808897221749149,38248216.0,0.6519441325054219,0,0.011998091212761576,0.06606184283756524,0,1
GOOG,18,2020-11-17,88.85,89.25,88.35,88.51,87.84,22942280,13528525440.0,-0.006307037462992419,88.31199999999998,84.086,0.008359383334390603,0.023825497107592117,-0.07994241188336404,88.3777239709443,0.010168342560162757,3.0346144752122655,2.734644252520127,0.2999702226921386,92.68796648263725,75.48403351736275,0.20459925511113033,0.7571505020933111,0.07271845836868263,0.13766066838046287,2.5728571428571447,0.029068547541036546,0.0024730228431178608,0.015425053482487112,-0.0017130136090926262,-0.012901931551345273,37219138.0,0.6164108368119648,1,0.0022420509104087976,0.05261280117974463,0,0
GOOG,18,2020-11-18,88.26,88.67,87.31,87.34,86.68,23469320,13528525440.0,-0.013306991923370665,88.252,84.4695,0.010741109412774338,0.023850035447421248,0.02297243342858679,79.6174142480211,0.015571330432791382,2.8684406671783194,2.7614035354517656,0.10703713172655371,92.92516387570727,76.01383612429272,0.20020632004942077,0.6697382986241222,-0.0013720557969356673,0.09627212250533446,2.394285714285716,0.02741339265268738,-0.006307037462992419,0.0024730228431178608,0.015425053482487112,0.0070995374347316755,32424216.0,0.7238207394127895,2,-0.01033404342111218,0.03398268013898516,1,2
GOOG,18,2020-11-19,86.92,88.48,86.85,88.2,87.53,24998200,13528525440.0,0.009798414955330625,88.39399999999999,84.841,0.01166025911064817,0.023787265806190554,0.06514377067592925,76.8192048012003,0.018480725623582876,2.7741627188078013,2.763955372122973,0.010207346684828256,93.26511051059578,76.41688948940421,0.1985858372861183,0.6993682297837311,0.0003402517863217991,0.09198960009904678,2.082857142857146,0.02361516034985426,-0.013306991923370665,-0.006307037462992419,0.0024730228431178608,-0.0017130136090926262,30792412.0,0.8118298754901045,3,-0.002194719098581221,0.03959170683985348,0,0
GOOG,18,2020-11-20,88.26,88.7,87.09,87.11,86.46,46273100,13528525440.0,-0.012435275181944963,88.046,85.09400000000001,0.009942117471709724,0.0239147790990473,0.8510572761238808,70.50105857445305,0.018482378601767872,2.5817322724342233,2.727510752185223,-0.14577847975099978,93.46896620574447,76.71903379425555,0.19684034610535303,0.6203586946188034,-0.011124985809967125,0.061669713589274755,2.037857142857145,0.023394066615281196,0.009798414955330625,-0.013306991923370665,-0.006307037462992419,0.015425053482487112,32097272.0,1.44165211298954,4,-0.01063080662381036,0.02369144710555375,0,1
GOOG,18,2020-11-23,87.48,87.69,85.89,86.74,86.09,43239500,13528525440.0,-0.004256549423580567,87.58000000000001,85.455,0.009288287089606452,0.022600648760922704,-0.06555860748469411,65.86646661665412,0.020751671662439443,2.3720305577833187,2.6564147133048426,-0.28438415552152385,93.43126347028242,77.47873652971758,0.18667751378579178,0.5805515016390562,-0.01599546228020432,0.09079476861166991,2.0057142857142876,0.02312329128100401,-0.012435275181944963,0.009798414955330625,-0.013306991923370665,0.0024730228431178608,31884682.0,1.356121412783731,0,-0.009591230874629111,0.015037154057691142,1,3
